Logging to: `data/czech_8x8/sm_ff-embd_flat-pm_ff/agent.log`
ES: initializing
loading es-util solver `CMAES`
solver options: {'sigma_init': 0.0625, 'CMA_elitist': False, 'AdaptSigma': False, 'reg': 'l2', 'weight_decay': 0.0001}
ES: starting CMAES optimizer on 32 cores
population-size: 96
with num. parameters: 582
Iteration 1/10000 -> Best Reward: -13.875, Current Reward: -13.875, Avg(Std)-Reward -28.168(3.771), Duration: 1.96 secs.
Iteration 2/10000 -> Best Reward: -13.500, Current Reward: -13.500, Avg(Std)-Reward -24.469(4.225), Duration: 1.47 secs.
Iteration 3/10000 -> Best Reward: -13.500, Current Reward: -13.750, Avg(Std)-Reward -22.388(4.365), Duration: 3.75 secs.
Iteration 4/10000 -> Best Reward: -13.500, Current Reward: -14.000, Avg(Std)-Reward -21.389(3.865), Duration: 2.84 secs.
Iteration 5/10000 -> Best Reward: -8.875, Current Reward: -8.875, Avg(Std)-Reward -19.473(5.051), Duration: 3.43 secs.
Iteration 6/10000 -> Best Reward: -6.500, Current Reward: -6.500, Avg(Std)-Reward -18.456(5.618), Duration: 1.93 secs.
Iteration 7/10000 -> Best Reward: -3.875, Current Reward: -3.875, Avg(Std)-Reward -16.523(5.498), Duration: 3.40 secs.
Iteration 8/10000 -> Best Reward: -3.875, Current Reward: -6.625, Avg(Std)-Reward -15.395(5.781), Duration: 1.80 secs.
Iteration 9/10000 -> Best Reward: -3.875, Current Reward: -5.000, Avg(Std)-Reward -16.008(5.704), Duration: 2.85 secs.
Iteration 10/10000 -> Best Reward: -3.625, Current Reward: -3.625, Avg(Std)-Reward -14.214(6.106), Duration: 1.68 secs.
Iteration 11/10000 -> Best Reward: -2.250, Current Reward: -2.250, Avg(Std)-Reward -11.482(5.175), Duration: 2.44 secs.
Iteration 12/10000 -> Best Reward: -0.125, Current Reward: -0.125, Avg(Std)-Reward -11.121(6.205), Duration: 1.83 secs.
Iteration 13/10000 -> Best Reward: -0.125, Current Reward: -2.250, Avg(Std)-Reward -11.243(5.739), Duration: 3.24 secs.
Iteration 14/10000 -> Best Reward: +0.375, Current Reward: +0.375, Avg(Std)-Reward -9.931(5.909), Duration: 2.20 secs.
Iteration 15/10000 -> Best Reward: +2.000, Current Reward: +2.000, Avg(Std)-Reward -9.703(6.595), Duration: 2.32 secs.
Iteration 16/10000 -> Best Reward: +2.000, Current Reward: +1.625, Avg(Std)-Reward -8.148(5.386), Duration: 1.23 secs.
Iteration 17/10000 -> Best Reward: +4.125, Current Reward: +4.125, Avg(Std)-Reward -8.493(6.130), Duration: 5.20 secs.
Iteration 18/10000 -> Best Reward: +4.125, Current Reward: +4.000, Avg(Std)-Reward -7.379(6.216), Duration: 2.30 secs.
Iteration 19/10000 -> Best Reward: +4.125, Current Reward: +2.750, Avg(Std)-Reward -7.413(6.164), Duration: 2.98 secs.
Iteration 20/10000 -> Best Reward: +5.875, Current Reward: +5.875, Avg(Std)-Reward -8.350(7.657), Duration: 1.28 secs.
Iteration 21/10000 -> Best Reward: +5.875, Current Reward: +3.625, Avg(Std)-Reward -6.569(6.562), Duration: 2.53 secs.
Iteration 22/10000 -> Best Reward: +9.125, Current Reward: +9.125, Avg(Std)-Reward -6.358(7.999), Duration: 2.10 secs.
Iteration 23/10000 -> Best Reward: +9.125, Current Reward: +8.000, Avg(Std)-Reward -8.322(8.967), Duration: 3.13 secs.
Iteration 24/10000 -> Best Reward: +9.125, Current Reward: +6.750, Avg(Std)-Reward -7.772(9.055), Duration: 2.11 secs.
Iteration 25/10000 -> Best Reward: +9.250, Current Reward: +9.250, Avg(Std)-Reward -7.203(9.239), Duration: 2.92 secs.
Iteration 26/10000 -> Best Reward: +9.250, Current Reward: +8.875, Avg(Std)-Reward -3.344(7.901), Duration: 1.33 secs.
Iteration 27/10000 -> Best Reward: +9.250, Current Reward: +9.125, Avg(Std)-Reward -2.733(7.084), Duration: 2.27 secs.
Iteration 28/10000 -> Best Reward: +10.125, Current Reward: +10.125, Avg(Std)-Reward -2.301(8.565), Duration: 2.62 secs.
Iteration 29/10000 -> Best Reward: +10.625, Current Reward: +10.625, Avg(Std)-Reward -1.465(8.839), Duration: 2.47 secs.
Iteration 30/10000 -> Best Reward: +10.750, Current Reward: +10.750, Avg(Std)-Reward -0.449(8.640), Duration: 2.29 secs.
Iteration 31/10000 -> Best Reward: +10.750, Current Reward: +9.875, Avg(Std)-Reward -1.307(8.923), Duration: 3.20 secs.
Iteration 32/10000 -> Best Reward: +11.000, Current Reward: +11.000, Avg(Std)-Reward -1.757(9.216), Duration: 1.98 secs.
Iteration 33/10000 -> Best Reward: +11.000, Current Reward: +10.625, Avg(Std)-Reward +0.221(8.515), Duration: 2.92 secs.
Iteration 34/10000 -> Best Reward: +11.125, Current Reward: +11.125, Avg(Std)-Reward -1.797(10.144), Duration: 1.76 secs.
Iteration 35/10000 -> Best Reward: +11.125, Current Reward: +10.875, Avg(Std)-Reward +0.841(7.873), Duration: 3.44 secs.
Iteration 36/10000 -> Best Reward: +12.750, Current Reward: +12.750, Avg(Std)-Reward +0.878(8.433), Duration: 2.11 secs.
Iteration 37/10000 -> Best Reward: +15.500, Current Reward: +15.500, Avg(Std)-Reward +2.229(9.004), Duration: 5.05 secs.
Iteration 38/10000 -> Best Reward: +15.500, Current Reward: +11.125, Avg(Std)-Reward +1.007(9.440), Duration: 2.39 secs.
