Logging to: `data/czech_8x8/sm_ff-embd_flat-pm_rgrn/agent.log`
ES: initializing
loading es-util solver `CMAES`
solver options: {'sigma_init': 0.0625, 'CMA_elitist': False, 'AdaptSigma': False, 'reg': 'l2', 'weight_decay': 0.0001}
ES: starting CMAES optimizer on 32 cores
population-size: 96
with num. parameters: 1320
Iteration 1/10000 -> Best Reward: -13.375, Current Reward: -13.375, Avg(Std)-Reward -25.049(3.420), Duration: 2.89 secs.
Iteration 2/10000 -> Best Reward: -13.375, Current Reward: -14.125, Avg(Std)-Reward -23.456(3.239), Duration: 2.76 secs.
Iteration 3/10000 -> Best Reward: -13.375, Current Reward: -15.500, Avg(Std)-Reward -22.389(2.949), Duration: 2.47 secs.
Iteration 4/10000 -> Best Reward: -13.375, Current Reward: -14.375, Avg(Std)-Reward -22.505(2.914), Duration: 7.63 secs.
Iteration 5/10000 -> Best Reward: -13.375, Current Reward: -15.375, Avg(Std)-Reward -21.684(2.950), Duration: 3.01 secs.
Iteration 6/10000 -> Best Reward: -13.375, Current Reward: -14.875, Avg(Std)-Reward -21.855(3.053), Duration: 2.45 secs.
Iteration 7/10000 -> Best Reward: -13.375, Current Reward: -15.375, Avg(Std)-Reward -21.496(2.936), Duration: 4.94 secs.
Iteration 8/10000 -> Best Reward: -13.375, Current Reward: -14.250, Avg(Std)-Reward -22.150(2.729), Duration: 2.30 secs.
Iteration 9/10000 -> Best Reward: -13.375, Current Reward: -14.625, Avg(Std)-Reward -21.432(3.295), Duration: 2.91 secs.
Iteration 10/10000 -> Best Reward: -13.375, Current Reward: -13.625, Avg(Std)-Reward -21.327(2.970), Duration: 7.59 secs.
Iteration 11/10000 -> Best Reward: -13.375, Current Reward: -15.000, Avg(Std)-Reward -21.474(2.850), Duration: 2.22 secs.
Iteration 12/10000 -> Best Reward: -13.000, Current Reward: -13.000, Avg(Std)-Reward -21.383(3.602), Duration: 2.14 secs.
Iteration 13/10000 -> Best Reward: -13.000, Current Reward: -14.375, Avg(Std)-Reward -21.471(3.429), Duration: 9.90 secs.
Iteration 14/10000 -> Best Reward: -13.000, Current Reward: -13.250, Avg(Std)-Reward -21.003(3.272), Duration: 2.20 secs.
Iteration 15/10000 -> Best Reward: -13.000, Current Reward: -14.250, Avg(Std)-Reward -21.211(3.315), Duration: 2.83 secs.
Iteration 16/10000 -> Best Reward: -11.125, Current Reward: -11.125, Avg(Std)-Reward -21.178(3.223), Duration: 10.44 secs.
Iteration 17/10000 -> Best Reward: -11.125, Current Reward: -13.125, Avg(Std)-Reward -21.043(3.169), Duration: 3.13 secs.
Iteration 18/10000 -> Best Reward: -11.125, Current Reward: -12.250, Avg(Std)-Reward -21.085(3.614), Duration: 2.49 secs.
Iteration 19/10000 -> Best Reward: -11.125, Current Reward: -15.250, Avg(Std)-Reward -20.983(3.279), Duration: 12.99 secs.
Iteration 20/10000 -> Best Reward: -11.125, Current Reward: -11.500, Avg(Std)-Reward -20.543(3.256), Duration: 2.44 secs.
Iteration 21/10000 -> Best Reward: -11.125, Current Reward: -13.000, Avg(Std)-Reward -20.546(3.615), Duration: 3.25 secs.
Iteration 22/10000 -> Best Reward: -11.125, Current Reward: -11.125, Avg(Std)-Reward -20.018(3.609), Duration: 9.78 secs.
Iteration 23/10000 -> Best Reward: -8.625, Current Reward: -8.625, Avg(Std)-Reward -19.625(4.097), Duration: 2.22 secs.
Iteration 24/10000 -> Best Reward: -8.625, Current Reward: -10.000, Avg(Std)-Reward -19.827(3.553), Duration: 2.68 secs.
Iteration 25/10000 -> Best Reward: -8.625, Current Reward: -11.875, Avg(Std)-Reward -19.570(3.308), Duration: 9.65 secs.
Iteration 26/10000 -> Best Reward: -6.750, Current Reward: -6.750, Avg(Std)-Reward -18.928(4.416), Duration: 2.24 secs.
Iteration 27/10000 -> Best Reward: -6.750, Current Reward: -10.625, Avg(Std)-Reward -19.040(3.755), Duration: 2.46 secs.
Iteration 28/10000 -> Best Reward: -6.625, Current Reward: -6.625, Avg(Std)-Reward -18.815(4.115), Duration: 7.11 secs.
Iteration 29/10000 -> Best Reward: -6.625, Current Reward: -10.625, Avg(Std)-Reward -18.704(4.164), Duration: 3.38 secs.
Iteration 30/10000 -> Best Reward: -6.625, Current Reward: -9.625, Avg(Std)-Reward -18.454(4.131), Duration: 2.01 secs.
Iteration 31/10000 -> Best Reward: -6.625, Current Reward: -9.625, Avg(Std)-Reward -17.819(4.125), Duration: 8.35 secs.
Iteration 32/10000 -> Best Reward: -6.625, Current Reward: -9.000, Avg(Std)-Reward -18.801(4.445), Duration: 2.13 secs.
Iteration 33/10000 -> Best Reward: -6.625, Current Reward: -7.125, Avg(Std)-Reward -17.176(4.330), Duration: 3.55 secs.
Iteration 34/10000 -> Best Reward: -6.625, Current Reward: -8.500, Avg(Std)-Reward -17.944(4.336), Duration: 6.53 secs.
Iteration 35/10000 -> Best Reward: -5.875, Current Reward: -5.875, Avg(Std)-Reward -17.465(4.847), Duration: 2.70 secs.
Iteration 36/10000 -> Best Reward: -3.875, Current Reward: -3.875, Avg(Std)-Reward -17.072(4.870), Duration: 2.36 secs.
Iteration 37/10000 -> Best Reward: -3.875, Current Reward: -7.125, Avg(Std)-Reward -16.523(5.367), Duration: 4.92 secs.
Iteration 38/10000 -> Best Reward: -3.875, Current Reward: -4.875, Avg(Std)-Reward -15.859(5.165), Duration: 2.36 secs.
Iteration 39/10000 -> Best Reward: -3.875, Current Reward: -4.250, Avg(Std)-Reward -15.497(5.347), Duration: 3.16 secs.
Iteration 40/10000 -> Best Reward: -3.875, Current Reward: -5.875, Avg(Std)-Reward -15.382(5.449), Duration: 8.14 secs.
Iteration 41/10000 -> Best Reward: -3.500, Current Reward: -3.500, Avg(Std)-Reward -14.277(5.766), Duration: 2.44 secs.
Iteration 42/10000 -> Best Reward: -3.500, Current Reward: -4.125, Avg(Std)-Reward -13.577(5.711), Duration: 3.31 secs.
Iteration 43/10000 -> Best Reward: -0.250, Current Reward: -0.250, Avg(Std)-Reward -13.036(5.299), Duration: 9.11 secs.
Iteration 44/10000 -> Best Reward: -0.250, Current Reward: -2.250, Avg(Std)-Reward -12.958(5.843), Duration: 2.79 secs.
Iteration 45/10000 -> Best Reward: +0.000, Current Reward: +0.000, Avg(Std)-Reward -12.135(6.319), Duration: 3.30 secs.
Iteration 46/10000 -> Best Reward: +0.000, Current Reward: -0.750, Avg(Std)-Reward -11.316(5.709), Duration: 7.31 secs.
Iteration 47/10000 -> Best Reward: +0.000, Current Reward: -0.875, Avg(Std)-Reward -10.993(5.694), Duration: 2.27 secs.
Iteration 48/10000 -> Best Reward: +3.625, Current Reward: +3.625, Avg(Std)-Reward -10.352(5.791), Duration: 3.04 secs.
Iteration 49/10000 -> Best Reward: +3.625, Current Reward: +0.125, Avg(Std)-Reward -9.385(5.340), Duration: 6.32 secs.
Iteration 50/10000 -> Best Reward: +3.625, Current Reward: +0.875, Avg(Std)-Reward -9.382(5.485), Duration: 2.61 secs.
Iteration 51/10000 -> Best Reward: +3.625, Current Reward: +0.000, Avg(Std)-Reward -9.280(5.897), Duration: 2.43 secs.
Iteration 52/10000 -> Best Reward: +3.625, Current Reward: +0.375, Avg(Std)-Reward -9.022(6.172), Duration: 7.50 secs.
Iteration 53/10000 -> Best Reward: +3.625, Current Reward: +2.875, Avg(Std)-Reward -8.914(5.542), Duration: 2.74 secs.
Iteration 54/10000 -> Best Reward: +3.625, Current Reward: +1.625, Avg(Std)-Reward -8.776(5.780), Duration: 2.64 secs.
Iteration 55/10000 -> Best Reward: +5.375, Current Reward: +5.375, Avg(Std)-Reward -8.823(5.782), Duration: 6.03 secs.
Iteration 56/10000 -> Best Reward: +5.375, Current Reward: +1.375, Avg(Std)-Reward -8.414(6.312), Duration: 2.51 secs.
Iteration 57/10000 -> Best Reward: +5.375, Current Reward: +3.000, Avg(Std)-Reward -7.590(6.357), Duration: 3.05 secs.
Iteration 58/10000 -> Best Reward: +5.375, Current Reward: +3.875, Avg(Std)-Reward -6.962(5.019), Duration: 8.10 secs.
