Logging to: `data/czech_8x8/sm_ff-embd_mean-pm_ff/agent.log`
ES: initializing
loading es-util solver `CMAES`
solver options: {'sigma_init': 0.0625, 'CMA_elitist': False, 'AdaptSigma': False, 'reg': 'l2', 'weight_decay': 0.0001}
ES: starting CMAES optimizer on 32 cores
population-size: 96
with num. parameters: 450
Iteration 1/10000 -> Best Reward: -16.375, Current Reward: -16.375, Avg(Std)-Reward -23.923(3.093), Duration: 1.81 secs.
Iteration 2/10000 -> Best Reward: -13.750, Current Reward: -13.750, Avg(Std)-Reward -22.038(3.334), Duration: 2.04 secs.
Iteration 3/10000 -> Best Reward: -12.000, Current Reward: -12.000, Avg(Std)-Reward -22.076(3.268), Duration: 2.95 secs.
Iteration 4/10000 -> Best Reward: -12.000, Current Reward: -15.000, Avg(Std)-Reward -22.318(2.785), Duration: 2.42 secs.
Iteration 5/10000 -> Best Reward: -12.000, Current Reward: -13.500, Avg(Std)-Reward -21.749(3.329), Duration: 2.63 secs.
Iteration 6/10000 -> Best Reward: -12.000, Current Reward: -13.125, Avg(Std)-Reward -22.745(2.905), Duration: 2.16 secs.
Iteration 7/10000 -> Best Reward: -12.000, Current Reward: -14.500, Avg(Std)-Reward -21.751(3.043), Duration: 3.26 secs.
Iteration 8/10000 -> Best Reward: -12.000, Current Reward: -13.875, Avg(Std)-Reward -21.965(3.147), Duration: 2.34 secs.
Iteration 9/10000 -> Best Reward: -12.000, Current Reward: -13.375, Avg(Std)-Reward -21.647(3.439), Duration: 4.36 secs.
Iteration 10/10000 -> Best Reward: -12.000, Current Reward: -12.625, Avg(Std)-Reward -21.944(3.201), Duration: 2.97 secs.
Iteration 11/10000 -> Best Reward: -12.000, Current Reward: -14.250, Avg(Std)-Reward -21.854(3.121), Duration: 1.99 secs.
Iteration 12/10000 -> Best Reward: -12.000, Current Reward: -14.000, Avg(Std)-Reward -22.125(3.041), Duration: 3.12 secs.
Iteration 13/10000 -> Best Reward: -12.000, Current Reward: -13.250, Avg(Std)-Reward -21.743(3.381), Duration: 2.76 secs.
Iteration 14/10000 -> Best Reward: -12.000, Current Reward: -14.625, Avg(Std)-Reward -21.633(3.097), Duration: 1.99 secs.
Iteration 15/10000 -> Best Reward: -12.000, Current Reward: -14.125, Avg(Std)-Reward -21.801(3.033), Duration: 1.80 secs.
Iteration 16/10000 -> Best Reward: -12.000, Current Reward: -15.125, Avg(Std)-Reward -22.048(3.035), Duration: 1.89 secs.
Iteration 17/10000 -> Best Reward: -10.625, Current Reward: -10.625, Avg(Std)-Reward -21.815(2.937), Duration: 3.15 secs.
Iteration 18/10000 -> Best Reward: -10.625, Current Reward: -11.625, Avg(Std)-Reward -21.965(3.128), Duration: 2.24 secs.
Iteration 19/10000 -> Best Reward: -10.000, Current Reward: -10.000, Avg(Std)-Reward -22.017(3.626), Duration: 3.07 secs.
Iteration 20/10000 -> Best Reward: -10.000, Current Reward: -12.875, Avg(Std)-Reward -21.547(3.653), Duration: 2.34 secs.
Iteration 21/10000 -> Best Reward: -10.000, Current Reward: -12.000, Avg(Std)-Reward -21.590(3.089), Duration: 2.32 secs.
Iteration 22/10000 -> Best Reward: -10.000, Current Reward: -11.500, Avg(Std)-Reward -22.214(3.354), Duration: 2.47 secs.
Iteration 23/10000 -> Best Reward: -10.000, Current Reward: -11.375, Avg(Std)-Reward -21.768(3.257), Duration: 2.97 secs.
Iteration 24/10000 -> Best Reward: -10.000, Current Reward: -13.750, Avg(Std)-Reward -21.382(3.474), Duration: 4.17 secs.
Iteration 25/10000 -> Best Reward: -10.000, Current Reward: -11.500, Avg(Std)-Reward -21.263(3.439), Duration: 3.19 secs.
Iteration 26/10000 -> Best Reward: -10.000, Current Reward: -12.625, Avg(Std)-Reward -21.449(3.411), Duration: 3.32 secs.
Iteration 27/10000 -> Best Reward: -10.000, Current Reward: -12.000, Avg(Std)-Reward -20.898(3.367), Duration: 2.80 secs.
Iteration 28/10000 -> Best Reward: -10.000, Current Reward: -12.125, Avg(Std)-Reward -21.654(3.260), Duration: 2.16 secs.
Iteration 29/10000 -> Best Reward: -10.000, Current Reward: -14.500, Avg(Std)-Reward -21.277(3.130), Duration: 3.97 secs.
Iteration 30/10000 -> Best Reward: -10.000, Current Reward: -13.500, Avg(Std)-Reward -22.227(3.433), Duration: 1.86 secs.
Iteration 31/10000 -> Best Reward: -10.000, Current Reward: -14.375, Avg(Std)-Reward -21.414(3.253), Duration: 3.45 secs.
Iteration 32/10000 -> Best Reward: -10.000, Current Reward: -12.625, Avg(Std)-Reward -20.707(3.707), Duration: 2.12 secs.
Iteration 33/10000 -> Best Reward: -8.625, Current Reward: -8.625, Avg(Std)-Reward -21.238(3.803), Duration: 2.85 secs.
Iteration 34/10000 -> Best Reward: -8.625, Current Reward: -9.250, Avg(Std)-Reward -20.720(3.830), Duration: 2.62 secs.
Iteration 35/10000 -> Best Reward: -8.625, Current Reward: -12.125, Avg(Std)-Reward -19.665(3.541), Duration: 2.78 secs.
