Logging to: `data/french_6x6/sm_ff-embd_flat-pm_ff/agent.log`
ES: initializing
loading es-util solver `CMAES`
solver options: {'sigma_init': 0.0625, 'CMA_elitist': False, 'AdaptSigma': False, 'reg': 'l2', 'weight_decay': 0.0001}
ES: starting CMAES optimizer on 32 cores
population-size: 96
with num. parameters: 470
Iteration 1/10000 -> Best Reward: -4.000, Current Reward: -4.000, Avg(Std)-Reward -15.247(3.150), Duration: 0.93 secs.
Iteration 2/10000 -> Best Reward: -3.250, Current Reward: -3.250, Avg(Std)-Reward -13.267(4.033), Duration: 1.57 secs.
Iteration 3/10000 -> Best Reward: -3.250, Current Reward: -4.125, Avg(Std)-Reward -12.112(3.819), Duration: 2.96 secs.
Iteration 4/10000 -> Best Reward: -3.250, Current Reward: -4.250, Avg(Std)-Reward -11.703(3.862), Duration: 1.65 secs.
Iteration 5/10000 -> Best Reward: -0.500, Current Reward: -0.500, Avg(Std)-Reward -11.046(4.350), Duration: 2.32 secs.
Iteration 6/10000 -> Best Reward: -0.500, Current Reward: -2.250, Avg(Std)-Reward -10.026(4.424), Duration: 2.14 secs.
Iteration 7/10000 -> Best Reward: +2.000, Current Reward: +2.000, Avg(Std)-Reward -9.900(4.765), Duration: 2.23 secs.
Iteration 8/10000 -> Best Reward: +2.000, Current Reward: +0.250, Avg(Std)-Reward -8.777(5.152), Duration: 2.24 secs.
Iteration 9/10000 -> Best Reward: +2.250, Current Reward: +2.250, Avg(Std)-Reward -8.544(5.739), Duration: 2.53 secs.
Iteration 10/10000 -> Best Reward: +2.250, Current Reward: +1.625, Avg(Std)-Reward -7.426(5.017), Duration: 2.70 secs.
Iteration 11/10000 -> Best Reward: +2.250, Current Reward: +1.250, Avg(Std)-Reward -6.828(4.780), Duration: 2.16 secs.
Iteration 12/10000 -> Best Reward: +2.250, Current Reward: +2.125, Avg(Std)-Reward -8.240(6.167), Duration: 2.01 secs.
Iteration 13/10000 -> Best Reward: +4.000, Current Reward: +4.000, Avg(Std)-Reward -5.755(5.321), Duration: 2.47 secs.
Iteration 14/10000 -> Best Reward: +6.500, Current Reward: +6.500, Avg(Std)-Reward -5.105(5.155), Duration: 3.58 secs.
Iteration 15/10000 -> Best Reward: +6.500, Current Reward: +5.000, Avg(Std)-Reward -5.065(5.643), Duration: 4.42 secs.
Iteration 16/10000 -> Best Reward: +6.500, Current Reward: +4.875, Avg(Std)-Reward -5.539(5.552), Duration: 1.81 secs.
Iteration 17/10000 -> Best Reward: +6.500, Current Reward: +4.750, Avg(Std)-Reward -5.193(6.060), Duration: 1.51 secs.
Iteration 18/10000 -> Best Reward: +6.500, Current Reward: +6.125, Avg(Std)-Reward -5.586(6.010), Duration: 2.61 secs.
Iteration 19/10000 -> Best Reward: +6.500, Current Reward: +5.625, Avg(Std)-Reward -4.728(5.332), Duration: 2.94 secs.
Iteration 20/10000 -> Best Reward: +6.500, Current Reward: +5.875, Avg(Std)-Reward -3.846(5.639), Duration: 3.11 secs.
Iteration 21/10000 -> Best Reward: +6.500, Current Reward: +5.750, Avg(Std)-Reward -3.546(5.949), Duration: 2.53 secs.
Iteration 22/10000 -> Best Reward: +7.000, Current Reward: +7.000, Avg(Std)-Reward -2.431(6.390), Duration: 2.40 secs.
Iteration 23/10000 -> Best Reward: +7.875, Current Reward: +7.875, Avg(Std)-Reward -2.232(6.084), Duration: 3.67 secs.
Iteration 24/10000 -> Best Reward: +7.875, Current Reward: +7.375, Avg(Std)-Reward -4.033(6.474), Duration: 2.88 secs.
Iteration 25/10000 -> Best Reward: +7.875, Current Reward: +7.125, Avg(Std)-Reward -2.667(6.584), Duration: 2.88 secs.
Iteration 26/10000 -> Best Reward: +7.875, Current Reward: +6.750, Avg(Std)-Reward -2.172(5.602), Duration: 1.76 secs.
Iteration 27/10000 -> Best Reward: +7.875, Current Reward: +7.125, Avg(Std)-Reward -2.536(6.590), Duration: 1.81 secs.
Iteration 28/10000 -> Best Reward: +7.875, Current Reward: +7.375, Avg(Std)-Reward -0.404(5.316), Duration: 2.22 secs.
Iteration 29/10000 -> Best Reward: +7.875, Current Reward: +6.750, Avg(Std)-Reward -1.857(6.621), Duration: 2.24 secs.
Iteration 30/10000 -> Best Reward: +7.875, Current Reward: +7.625, Avg(Std)-Reward -1.715(6.096), Duration: 2.30 secs.
Iteration 31/10000 -> Best Reward: +7.875, Current Reward: +7.375, Avg(Std)-Reward -1.339(5.538), Duration: 2.63 secs.
Iteration 32/10000 -> Best Reward: +7.875, Current Reward: +6.875, Avg(Std)-Reward -2.362(6.850), Duration: 3.40 secs.
Iteration 33/10000 -> Best Reward: +8.000, Current Reward: +8.000, Avg(Std)-Reward -1.126(6.344), Duration: 2.35 secs.
Iteration 34/10000 -> Best Reward: +8.500, Current Reward: +8.500, Avg(Std)-Reward -0.276(5.869), Duration: 2.22 secs.
Iteration 35/10000 -> Best Reward: +8.500, Current Reward: +8.375, Avg(Std)-Reward -0.832(6.240), Duration: 4.09 secs.
Iteration 36/10000 -> Best Reward: +8.500, Current Reward: +7.625, Avg(Std)-Reward -0.690(5.613), Duration: 3.21 secs.
Iteration 37/10000 -> Best Reward: +8.500, Current Reward: +8.250, Avg(Std)-Reward -0.311(5.374), Duration: 1.52 secs.
Iteration 38/10000 -> Best Reward: +8.500, Current Reward: +7.750, Avg(Std)-Reward -0.341(5.540), Duration: 2.77 secs.
Iteration 39/10000 -> Best Reward: +8.500, Current Reward: +8.000, Avg(Std)-Reward -0.121(5.463), Duration: 1.83 secs.
Iteration 40/10000 -> Best Reward: +8.500, Current Reward: +8.000, Avg(Std)-Reward +0.546(5.102), Duration: 3.00 secs.
Iteration 41/10000 -> Best Reward: +8.500, Current Reward: +7.000, Avg(Std)-Reward -0.293(6.047), Duration: 2.95 secs.
Iteration 42/10000 -> Best Reward: +8.500, Current Reward: +7.875, Avg(Std)-Reward +0.995(5.016), Duration: 2.65 secs.
Iteration 43/10000 -> Best Reward: +8.500, Current Reward: +7.625, Avg(Std)-Reward -0.159(5.902), Duration: 2.81 secs.
Iteration 44/10000 -> Best Reward: +8.500, Current Reward: +8.250, Avg(Std)-Reward +1.049(4.663), Duration: 2.98 secs.
Iteration 45/10000 -> Best Reward: +8.500, Current Reward: +8.500, Avg(Std)-Reward +1.564(4.949), Duration: 1.91 secs.
Iteration 46/10000 -> Best Reward: +8.500, Current Reward: +7.375, Avg(Std)-Reward +0.561(4.862), Duration: 2.67 secs.
Iteration 47/10000 -> Best Reward: +8.500, Current Reward: +8.500, Avg(Std)-Reward +1.005(5.360), Duration: 2.09 secs.
Iteration 48/10000 -> Best Reward: +8.500, Current Reward: +7.375, Avg(Std)-Reward +0.645(5.309), Duration: 2.39 secs.
Iteration 49/10000 -> Best Reward: +8.500, Current Reward: +8.250, Avg(Std)-Reward +0.924(5.510), Duration: 1.88 secs.
Iteration 50/10000 -> Best Reward: +8.500, Current Reward: +7.750, Avg(Std)-Reward +2.435(4.482), Duration: 2.40 secs.
Iteration 51/10000 -> Best Reward: +8.500, Current Reward: +8.250, Avg(Std)-Reward +1.629(4.979), Duration: 2.66 secs.
Iteration 52/10000 -> Best Reward: +8.500, Current Reward: +8.000, Avg(Std)-Reward +2.277(4.576), Duration: 2.60 secs.
Iteration 53/10000 -> Best Reward: +8.500, Current Reward: +8.000, Avg(Std)-Reward +2.329(4.052), Duration: 2.18 secs.
Iteration 54/10000 -> Best Reward: +8.500, Current Reward: +7.875, Avg(Std)-Reward +2.228(4.408), Duration: 1.87 secs.
Iteration 55/10000 -> Best Reward: +8.500, Current Reward: +8.500, Avg(Std)-Reward +3.031(4.306), Duration: 1.54 secs.
Iteration 56/10000 -> Best Reward: +8.625, Current Reward: +8.625, Avg(Std)-Reward +2.082(4.402), Duration: 3.14 secs.
Iteration 57/10000 -> Best Reward: +8.625, Current Reward: +8.250, Avg(Std)-Reward +2.655(4.812), Duration: 3.54 secs.
Iteration 58/10000 -> Best Reward: +8.625, Current Reward: +8.000, Avg(Std)-Reward +2.605(4.856), Duration: 2.33 secs.
Iteration 59/10000 -> Best Reward: +8.625, Current Reward: +8.375, Avg(Std)-Reward +2.691(4.291), Duration: 2.69 secs.
Iteration 60/10000 -> Best Reward: +9.250, Current Reward: +9.250, Avg(Std)-Reward +3.221(3.930), Duration: 2.76 secs.
Iteration 61/10000 -> Best Reward: +9.250, Current Reward: +8.125, Avg(Std)-Reward +2.730(4.815), Duration: 2.77 secs.
Iteration 62/10000 -> Best Reward: +9.250, Current Reward: +8.000, Avg(Std)-Reward +3.470(3.667), Duration: 2.00 secs.
Iteration 63/10000 -> Best Reward: +9.250, Current Reward: +8.500, Avg(Std)-Reward +3.405(3.941), Duration: 2.71 secs.
Iteration 64/10000 -> Best Reward: +9.250, Current Reward: +8.875, Avg(Std)-Reward +3.124(3.713), Duration: 2.57 secs.
Iteration 65/10000 -> Best Reward: +9.625, Current Reward: +9.625, Avg(Std)-Reward +3.904(3.733), Duration: 2.49 secs.
Iteration 66/10000 -> Best Reward: +9.625, Current Reward: +8.000, Avg(Std)-Reward +3.647(4.471), Duration: 3.22 secs.
Iteration 67/10000 -> Best Reward: +9.625, Current Reward: +8.250, Avg(Std)-Reward +3.658(3.928), Duration: 4.10 secs.
Iteration 68/10000 -> Best Reward: +9.625, Current Reward: +8.750, Avg(Std)-Reward +3.599(4.050), Duration: 2.55 secs.
Iteration 69/10000 -> Best Reward: +9.625, Current Reward: +9.000, Avg(Std)-Reward +4.082(3.701), Duration: 2.77 secs.
Iteration 70/10000 -> Best Reward: +9.625, Current Reward: +9.000, Avg(Std)-Reward +3.986(4.273), Duration: 2.59 secs.
Iteration 71/10000 -> Best Reward: +9.625, Current Reward: +8.875, Avg(Std)-Reward +4.270(3.750), Duration: 1.88 secs.
Iteration 72/10000 -> Best Reward: +9.625, Current Reward: +8.625, Avg(Std)-Reward +4.003(4.209), Duration: 1.82 secs.
Iteration 73/10000 -> Best Reward: +9.875, Current Reward: +9.875, Avg(Std)-Reward +4.230(4.333), Duration: 2.86 secs.
