ES: initializing
loading es-util solver `CMAES`
solver options: {'sigma_init': 0.0625, 'CMA_elitist': False, 'AdaptSigma': False, 'reg': 'l2', 'weight_decay': 0.0001}
ES: starting CMAES optimizer on 1 core
population-size: 100
with num. parameters: 338
Iteration 1/2000 -> Best Reward: -9.562, Current Reward: -9.562, Avg(Std)-Reward -16.364(3.739), Duration: 23.45 secs.
Aborted via Keyboard Interrupt.
ES: initializing
loading es-util solver `CMAES`
solver options: {'sigma_init': 0.0625, 'CMA_elitist': False, 'AdaptSigma': False, 'reg': 'l2', 'weight_decay': 0.0001}
ES: starting CMAES optimizer on 8 cores
population-size: 100
with num. parameters: 338
Iteration 1/2000 -> Best Reward: -14.000, Current Reward: -14.000, Avg(Std)-Reward -21.881(1.743), Duration: 4.59 secs.
Iteration 2/2000 -> Best Reward: -11.812, Current Reward: -11.812, Avg(Std)-Reward -19.613(3.224), Duration: 5.00 secs.
Iteration 3/2000 -> Best Reward: -8.125, Current Reward: -8.125, Avg(Std)-Reward -17.084(3.140), Duration: 4.30 secs.
Iteration 4/2000 -> Best Reward: -8.125, Current Reward: -11.000, Avg(Std)-Reward -16.436(3.049), Duration: 4.85 secs.
Iteration 5/2000 -> Best Reward: -8.125, Current Reward: -11.812, Avg(Std)-Reward -17.233(3.227), Duration: 4.51 secs.
Iteration 6/2000 -> Best Reward: -8.125, Current Reward: -8.500, Avg(Std)-Reward -16.726(3.319), Duration: 4.75 secs.
Iteration 7/2000 -> Best Reward: -8.125, Current Reward: -10.812, Avg(Std)-Reward -16.225(3.389), Duration: 4.78 secs.
Iteration 8/2000 -> Best Reward: -8.125, Current Reward: -10.500, Avg(Std)-Reward -15.956(3.324), Duration: 5.06 secs.
Iteration 9/2000 -> Best Reward: -8.125, Current Reward: -11.000, Avg(Std)-Reward -14.926(2.482), Duration: 4.50 secs.
Iteration 10/2000 -> Best Reward: -8.125, Current Reward: -9.062, Avg(Std)-Reward -14.974(3.096), Duration: 4.69 secs.
Iteration 11/2000 -> Best Reward: -8.125, Current Reward: -9.188, Avg(Std)-Reward -14.935(3.235), Duration: 5.26 secs.
Iteration 12/2000 -> Best Reward: -7.750, Current Reward: -7.750, Avg(Std)-Reward -14.666(2.821), Duration: 4.96 secs.
Iteration 13/2000 -> Best Reward: -7.750, Current Reward: -10.125, Avg(Std)-Reward -14.899(2.918), Duration: 4.15 secs.
Iteration 14/2000 -> Best Reward: -7.750, Current Reward: -9.062, Avg(Std)-Reward -14.799(3.071), Duration: 4.83 secs.
Iteration 15/2000 -> Best Reward: -7.750, Current Reward: -8.438, Avg(Std)-Reward -14.543(2.930), Duration: 4.83 secs.
Iteration 16/2000 -> Best Reward: -7.750, Current Reward: -9.250, Avg(Std)-Reward -15.204(3.311), Duration: 5.27 secs.
Iteration 17/2000 -> Best Reward: -7.750, Current Reward: -9.562, Avg(Std)-Reward -15.159(3.199), Duration: 4.19 secs.
Iteration 18/2000 -> Best Reward: -7.750, Current Reward: -8.500, Avg(Std)-Reward -14.651(3.184), Duration: 4.38 secs.
Iteration 19/2000 -> Best Reward: -7.750, Current Reward: -9.000, Avg(Std)-Reward -14.633(2.923), Duration: 4.99 secs.
Iteration 20/2000 -> Best Reward: -7.750, Current Reward: -8.688, Avg(Std)-Reward -14.794(3.190), Duration: 5.11 secs.
Iteration 21/2000 -> Best Reward: -7.750, Current Reward: -10.312, Avg(Std)-Reward -15.008(2.885), Duration: 5.05 secs.
Iteration 22/2000 -> Best Reward: -7.750, Current Reward: -10.375, Avg(Std)-Reward -14.847(3.074), Duration: 4.91 secs.
Iteration 23/2000 -> Best Reward: -7.750, Current Reward: -8.000, Avg(Std)-Reward -14.845(3.341), Duration: 5.16 secs.
Iteration 24/2000 -> Best Reward: -7.750, Current Reward: -10.375, Avg(Std)-Reward -15.277(3.073), Duration: 5.35 secs.
Iteration 25/2000 -> Best Reward: -7.750, Current Reward: -7.938, Avg(Std)-Reward -15.059(3.305), Duration: 4.79 secs.
Iteration 26/2000 -> Best Reward: -7.750, Current Reward: -9.750, Avg(Std)-Reward -14.411(2.773), Duration: 5.38 secs.
Iteration 27/2000 -> Best Reward: -7.750, Current Reward: -10.500, Avg(Std)-Reward -14.757(2.964), Duration: 5.97 secs.
Iteration 28/2000 -> Best Reward: -7.750, Current Reward: -8.250, Avg(Std)-Reward -14.926(3.172), Duration: 5.17 secs.
Iteration 29/2000 -> Best Reward: -7.750, Current Reward: -8.625, Avg(Std)-Reward -14.564(3.297), Duration: 4.75 secs.
Iteration 30/2000 -> Best Reward: -7.750, Current Reward: -9.375, Avg(Std)-Reward -15.001(3.239), Duration: 4.22 secs.
Iteration 31/2000 -> Best Reward: -7.750, Current Reward: -9.875, Avg(Std)-Reward -14.780(3.073), Duration: 4.69 secs.
Iteration 32/2000 -> Best Reward: -7.750, Current Reward: -8.688, Avg(Std)-Reward -14.621(3.053), Duration: 4.92 secs.
Iteration 33/2000 -> Best Reward: -6.500, Current Reward: -6.500, Avg(Std)-Reward -14.816(3.321), Duration: 5.55 secs.
Iteration 34/2000 -> Best Reward: -6.500, Current Reward: -9.688, Avg(Std)-Reward -15.005(3.042), Duration: 5.55 secs.
Iteration 35/2000 -> Best Reward: -6.500, Current Reward: -9.188, Avg(Std)-Reward -14.912(3.077), Duration: 5.18 secs.
Iteration 36/2000 -> Best Reward: -6.500, Current Reward: -10.562, Avg(Std)-Reward -14.874(2.992), Duration: 5.05 secs.
Iteration 37/2000 -> Best Reward: -6.500, Current Reward: -7.312, Avg(Std)-Reward -14.723(3.045), Duration: 5.90 secs.
Iteration 38/2000 -> Best Reward: -6.500, Current Reward: -10.250, Avg(Std)-Reward -15.049(3.067), Duration: 4.96 secs.
Iteration 39/2000 -> Best Reward: -6.500, Current Reward: -7.750, Avg(Std)-Reward -15.251(3.361), Duration: 4.67 secs.
Iteration 40/2000 -> Best Reward: -6.500, Current Reward: -8.688, Avg(Std)-Reward -14.209(2.987), Duration: 5.16 secs.
Iteration 41/2000 -> Best Reward: -6.500, Current Reward: -10.000, Avg(Std)-Reward -14.856(3.091), Duration: 4.92 secs.
Iteration 42/2000 -> Best Reward: -6.500, Current Reward: -8.500, Avg(Std)-Reward -15.181(3.408), Duration: 4.82 secs.
Iteration 43/2000 -> Best Reward: -6.500, Current Reward: -8.438, Avg(Std)-Reward -14.847(3.056), Duration: 4.32 secs.
Iteration 44/2000 -> Best Reward: -6.500, Current Reward: -6.812, Avg(Std)-Reward -14.835(3.276), Duration: 4.39 secs.
Iteration 45/2000 -> Best Reward: -6.500, Current Reward: -9.688, Avg(Std)-Reward -14.625(2.908), Duration: 4.25 secs.
Iteration 46/2000 -> Best Reward: -6.500, Current Reward: -8.375, Avg(Std)-Reward -15.429(3.668), Duration: 4.98 secs.
Iteration 47/2000 -> Best Reward: -6.500, Current Reward: -9.812, Avg(Std)-Reward -14.656(2.954), Duration: 4.63 secs.
Iteration 48/2000 -> Best Reward: -6.500, Current Reward: -8.062, Avg(Std)-Reward -14.041(2.795), Duration: 5.02 secs.
Iteration 49/2000 -> Best Reward: -6.500, Current Reward: -6.562, Avg(Std)-Reward -14.472(3.284), Duration: 5.13 secs.
Iteration 50/2000 -> Best Reward: -6.500, Current Reward: -7.812, Avg(Std)-Reward -14.574(3.440), Duration: 4.42 secs.
Iteration 51/2000 -> Best Reward: -6.500, Current Reward: -7.250, Avg(Std)-Reward -15.011(3.324), Duration: 4.26 secs.
Iteration 52/2000 -> Best Reward: -6.500, Current Reward: -6.938, Avg(Std)-Reward -14.549(3.181), Duration: 4.39 secs.
